log_id,user_id,video_id,watch_date,subscribed,playlist_name,video_title
146852,25,9yYhAWn1yt0,2018-07-18 02:42:19,,,Yennamo Yedho - Muttaalaai Muttaalaai Video Song | Gautham Karthik | D.Imman | Rakul Preet Singh
146853,25,d_E6MyWjp7k,2018-07-18 02:35:58,,,Manamey | Cintaku  Buta  2.0 | Havoc Brothers | Tamil  Album  Song
146856,25,ulUxKCjwtJ0,2018-07-18 02:27:33,,,Bholenath - Speed Music - LUCKY DJ
146857,25,t_GBGG-Ukw0,2018-07-18 02:27:19,,,Bam Bhole Original || Viruss || Akshay Kumar || ACME MUZIC
146863,25,pAvGsSI_cu8,2018-07-18 02:26:04,,,TriBoss - Aqua Drop (Deep Bass Test)
146866,25,VJvKXNC5-iw,2018-07-17 12:57:56,,,Action | Hi-5 Season 16 Songs of the Week and more Kids Songs
146867,25,CoEtJ97Omo0,2018-07-17 12:57:30,,,Larry as Cowboy Bebop: Opening Parody | The Amazing World of Gumball | Cartoon Network
146868,25,Py4fhsx3Ct4,2018-07-17 12:57:05,,,Kids Superhero Song  - Let's Be Superheroes | Action Songs for Kids - Bounce Patrol
146869,25,tpSxReO1JlA,2018-07-17 12:54:07,,,Power dissipation in resistors in series versus in parallel
146870,25,eg5ZGRLbKhY,2018-07-17 12:53:01,,,OG Wiggles: Yummy Yummy (Part 3 of 4) | Kids Songs & Nursery Rhymes
146871,25,pbQJqmYdjbk,2018-07-17 12:52:29,,,Energy dissipation across two resistors in series example
146872,25,dE_vrU5ii6w,2018-07-17 12:52:07,,,CBeebies Songs | Andy's Big Bear Boogie
